성별,생일,결혼 유무,종교 유무,직업 코드,소득,지역구,나이,직업,연령대,점수,신용
남성,1943,결혼,있슴,942,100,수도권,78,경비원 및 검표원,노년,7.8,122
남성,1942,결혼,있슴,942,120,수도권,79,경비원 및 검표원,노년,7.3,124
남성,1940,결혼,없슴,942,241.619016,수도권,81,경비원 및 검표원,노년,7.2,133
남성,1943,결혼,없슴,942,139,수도권,78,경비원 및 검표원,노년,6.5,129
남성,1941,결혼,있슴,942,124,수도권,80,경비원 및 검표원,노년,6.8,120
남성,1943,무응답,없슴,942,127,광주/전남/전북/제주도,78,경비원 및 검표원,노년,7.3,142
남성,1942,결혼,있슴,942,120.4,광주/전남/전북/제주도,79,경비원 및 검표원,노년,6,126
남성,1954,결혼,없슴,942,135,광주/전남/전북/제주도,67,경비원 및 검표원,노년,5.7,142
남성,1944,결혼,있슴,942,95,대전/충남,77,경비원 및 검표원,노년,6.4,130
남성,1947,결혼,있슴,942,140,수도권,74,경비원 및 검표원,노년,6.7,110
남성,1951,결혼,있슴,942,169,수도권,70,경비원 및 검표원,노년,6.8,112
여성,1973,결혼,없슴,942,130,수도권,48,경비원 및 검표원,중년,6.3,123
남성,1946,결혼,있슴,942,131.7,수도권,75,경비원 및 검표원,노년,5.6,156
남성,1953,결혼,있슴,942,109,수도권,68,경비원 및 검표원,노년,8.3,121
여성,1970,결혼,있슴,942,241.619016,수도권,51,경비원 및 검표원,중년,6.6,124
남성,1962,결혼,있슴,942,205,수도권,59,경비원 및 검표원,중년,7.2,132
남성,1960,이혼,없슴,942,200,수도권,61,경비원 및 검표원,노년,7,147
남성,1947,결혼,없슴,942,130,수도권,74,경비원 및 검표원,노년,8,164
남성,1942,결혼,있슴,942,108,수도권,79,경비원 및 검표원,노년,7.8,119
남성,1953,결혼,없슴,942,140,수도권,68,경비원 및 검표원,노년,6.3,125
남성,1943,결혼,없슴,942,140,수도권,78,경비원 및 검표원,노년,7.3,131
남성,1946,결혼,없슴,942,130,수도권,75,경비원 및 검표원,노년,6.6,128
남성,1956,결혼,있슴,942,130,강원/충북,65,경비원 및 검표원,노년,7,130
남성,1986,무응답,없슴,942,210,강원/충북,35,경비원 및 검표원,중년,6.3,147
남성,1958,결혼,없슴,942,314.2,강원/충북,63,경비원 및 검표원,노년,6.2,158
남성,1945,결혼,없슴,942,70.9,강원/충북,76,경비원 및 검표원,노년,6.8,127
남성,1977,무응답,있슴,942,170,강원/충북,44,경비원 및 검표원,중년,7.2,108
남성,1944,결혼,없슴,942,125,강원/충북,77,경비원 및 검표원,노년,7.5,107
남성,1937,결혼,없슴,942,178.8,강원/충북,84,경비원 및 검표원,노년,8.4,126
남성,1956,결혼,없슴,942,153.33,대전/충남,65,경비원 및 검표원,노년,6.2,97
남성,1962,결혼,있슴,942,165,광주/전남/전북/제주도,59,경비원 및 검표원,중년,5.8,124
남성,1952,결혼,있슴,942,122.58,광주/전남/전북/제주도,69,경비원 및 검표원,노년,6.8,123
남성,1954,결혼,없슴,942,144.3,광주/전남/전북/제주도,67,경비원 및 검표원,노년,5.4,116
남성,1949,결혼,없슴,942,131,광주/전남/전북/제주도,72,경비원 및 검표원,노년,6.6,118
남성,1952,무응답,있슴,942,140,광주/전남/전북/제주도,69,경비원 및 검표원,노년,6.9,118
남성,1942,결혼,없슴,942,90,광주/전남/전북/제주도,79,경비원 및 검표원,노년,7.3,114
여성,1938,무응답,있슴,942,80,광주/전남/전북/제주도,83,경비원 및 검표원,노년,9,108
남성,1946,결혼,있슴,942,140,광주/전남/전북/제주도,75,경비원 및 검표원,노년,8.3,135
남성,1943,결혼,없슴,942,152.3,광주/전남/전북/제주도,78,경비원 및 검표원,노년,6.5,134
여성,1958,결혼,있슴,942,170.2,대구/경북,63,경비원 및 검표원,노년,7.9,134
남성,1942,무응답,없슴,942,115.3,대구/경북,79,경비원 및 검표원,노년,7.5,107
남성,1945,결혼,있슴,942,140,부산/경남/울산,76,경비원 및 검표원,노년,4.8,164
남성,1946,결혼,있슴,942,171.6,부산/경남/울산,75,경비원 및 검표원,노년,5.2,115
남성,1952,결혼,있슴,942,135,대구/경북,69,경비원 및 검표원,노년,6.9,115
남성,1947,결혼,있슴,942,142.5,서울,74,경비원 및 검표원,노년,5.4,121
남성,1952,결혼,없슴,942,145.4,대전/충남,69,경비원 및 검표원,노년,7.9,129
남성,1962,무응답,없슴,942,125,부산/경남/울산,59,경비원 및 검표원,중년,6.1,123
남성,1944,결혼,없슴,942,120,부산/경남/울산,77,경비원 및 검표원,노년,5.8,91
남성,1957,결혼,있슴,942,150,부산/경남/울산,64,경비원 및 검표원,노년,8.3,143
남성,1947,결혼,있슴,942,100,광주/전남/전북/제주도,74,경비원 및 검표원,노년,7.8,137
남성,1969,결혼,없슴,942,191,광주/전남/전북/제주도,52,경비원 및 검표원,중년,7,101
남성,1941,결혼,없슴,942,72.5,광주/전남/전북/제주도,80,경비원 및 검표원,노년,6.1,140
남성,1948,결혼,있슴,942,138.3,수도권,73,경비원 및 검표원,노년,7,121
남성,1950,결혼,없슴,942,153.7,수도권,71,경비원 및 검표원,노년,7.6,142
남성,1951,결혼,없슴,942,126.6,광주/전남/전북/제주도,70,경비원 및 검표원,노년,4.5,130
남성,1942,결혼,없슴,942,75,수도권,79,경비원 및 검표원,노년,6.3,136
남성,1941,결혼,있슴,942,95,부산/경남/울산,80,경비원 및 검표원,노년,7.8,85
남성,1950,결혼,있슴,942,120,수도권,71,경비원 및 검표원,노년,6.4,115
남성,1953,결혼,있슴,942,95,수도권,68,경비원 및 검표원,노년,6.5,137
남성,1947,결혼,있슴,942,60,부산/경남/울산,74,경비원 및 검표원,노년,7.9,133
남성,1947,결혼,있슴,942,120,수도권,74,경비원 및 검표원,노년,7.8,108
남성,1943,결혼,있슴,942,123.8,부산/경남/울산,78,경비원 및 검표원,노년,6.6,113
남성,1945,결혼,있슴,942,93,수도권,76,경비원 및 검표원,노년,5.5,134
남성,1941,결혼,없슴,942,70,대구/경북,80,경비원 및 검표원,노년,8.2,132
남성,1952,결혼,없슴,942,150,대전/충남,69,경비원 및 검표원,노년,6.4,125
남성,1952,결혼,있슴,942,150,대전/충남,69,경비원 및 검표원,노년,8.1,121
남성,1950,결혼,없슴,942,153,대전/충남,71,경비원 및 검표원,노년,8.6,135
남성,1938,결혼,있슴,942,71.7,수도권,83,경비원 및 검표원,노년,8.8,109
남성,1943,결혼,없슴,942,90,수도권,78,경비원 및 검표원,노년,8.2,125
남성,1942,이혼,있슴,762,200,서울,79,전기공,노년,7.9,139
남성,1965,결혼,없슴,762,241.619016,서울,56,전기공,중년,6.7,131
남성,1970,무응답,없슴,762,241.619016,광주/전남/전북/제주도,51,전기공,중년,7.8,134
남성,1960,결혼,있슴,762,387.5,서울,61,전기공,노년,7.8,144
남성,1982,무응답,없슴,762,416.7,부산/경남/울산,39,전기공,중년,6.6,142
남성,1972,무응답,있슴,762,233.1,부산/경남/울산,49,전기공,중년,6.1,137
남성,1958,결혼,있슴,762,150.4,대구/경북,63,전기공,노년,5.6,118
남성,1960,결혼,있슴,762,415,대구/경북,61,전기공,노년,6.4,124
남성,1961,결혼,있슴,762,291.5,수도권,60,전기공,노년,6.1,116
여성,1988,무응답,있슴,762,191,부산/경남/울산,33,전기공,중년,7.3,130
남성,1955,결혼,없슴,762,591.33,부산/경남/울산,66,전기공,노년,6.6,147
남성,1963,무응답,없슴,762,183.3,수도권,58,전기공,중년,6.3,94
남성,1957,결혼,있슴,762,210,수도권,64,전기공,노년,6.1,135
남성,1970,결혼,있슴,762,195.8,수도권,51,전기공,중년,7.1,128
남성,1970,결혼,없슴,762,391,수도권,51,전기공,중년,5.5,107
남성,1966,결혼,있슴,762,241.619016,수도권,55,전기공,중년,7.5,124
남성,1972,결혼,없슴,762,275.16,대전/충남,49,전기공,중년,7.6,135
남성,1963,결혼,없슴,762,175,수도권,58,전기공,중년,6.4,120
남성,1948,무응답,있슴,762,241.619016,수도권,73,전기공,노년,7.2,140
남성,1977,무응답,없슴,762,300,수도권,44,전기공,중년,6.7,117
남성,1976,결혼,없슴,762,489.8,강원/충북,45,전기공,중년,8,109
남성,1958,결혼,있슴,762,241.619016,대전/충남,63,전기공,노년,8.3,114
남성,1985,무응답,있슴,762,253,대전/충남,36,전기공,중년,6.7,110
남성,1978,결혼,있슴,762,161,광주/전남/전북/제주도,43,전기공,중년,5.9,136
남성,1975,무응답,있슴,762,210,수도권,46,전기공,중년,6.7,106
남성,1977,무응답,없슴,762,241.619016,광주/전남/전북/제주도,44,전기공,중년,6.7,121
남성,1972,이혼,없슴,762,233.3,대구/경북,49,전기공,중년,7.6,127
남성,1962,결혼,있슴,530,241.619016,서울,59,방문 노점 및 통신 판매 관련 종사자,중년,7.2,127
남성,1964,무응답,없슴,530,241.619016,서울,57,방문 노점 및 통신 판매 관련 종사자,중년,7.1,127
남성,1982,무응답,있슴,530,180,서울,39,방문 노점 및 통신 판매 관련 종사자,중년,8.1,117
남성,1960,결혼,없슴,530,241.619016,서울,61,방문 노점 및 통신 판매 관련 종사자,노년,6.7,126
여성,1965,결혼,없슴,530,240,서울,56,방문 노점 및 통신 판매 관련 종사자,중년,7,100
남성,1957,이혼,없슴,530,241.619016,서울,64,방문 노점 및 통신 판매 관련 종사자,노년,6.9,110
남성,1988,무응답,있슴,530,150,서울,33,방문 노점 및 통신 판매 관련 종사자,중년,5.1,103
여성,1944,결혼,있슴,530,241.619016,서울,77,방문 노점 및 통신 판매 관련 종사자,노년,5.8,121
남성,1945,결혼,없슴,530,241.619016,서울,76,방문 노점 및 통신 판매 관련 종사자,노년,6.2,120
여성,1976,무응답,있슴,530,175,서울,45,방문 노점 및 통신 판매 관련 종사자,중년,7.4,163
여성,1974,결혼,있슴,530,66.6,서울,47,방문 노점 및 통신 판매 관련 종사자,중년,5.8,115
여성,1942,결혼,없슴,530,241.619016,서울,79,방문 노점 및 통신 판매 관련 종사자,노년,6.2,120
남성,1981,결혼,없슴,530,200,서울,40,방문 노점 및 통신 판매 관련 종사자,중년,7.3,106
남성,1980,무응답,있슴,530,150,서울,41,방문 노점 및 통신 판매 관련 종사자,중년,4.2,123
여성,1972,결혼,없슴,530,113.9,서울,49,방문 노점 및 통신 판매 관련 종사자,중년,6.9,89
여성,1964,결혼,있슴,530,100,서울,57,방문 노점 및 통신 판매 관련 종사자,중년,6.4,107
여성,1947,이혼,없슴,530,241.619016,서울,74,방문 노점 및 통신 판매 관련 종사자,노년,5.4,118
남성,1950,결혼,있슴,530,241.619016,서울,71,방문 노점 및 통신 판매 관련 종사자,노년,6.7,135
남성,1980,무응답,없슴,530,213,서울,41,방문 노점 및 통신 판매 관련 종사자,중년,5.8,137
남성,1940,결혼,있슴,530,241.619016,부산/경남/울산,81,방문 노점 및 통신 판매 관련 종사자,노년,6.9,125
여성,1944,결혼,있슴,530,241.619016,부산/경남/울산,77,방문 노점 및 통신 판매 관련 종사자,노년,7.2,90
여성,1983,결혼,없슴,530,241.619016,부산/경남/울산,38,방문 노점 및 통신 판매 관련 종사자,중년,6.9,125
남성,1983,결혼,없슴,530,241.619016,부산/경남/울산,38,방문 노점 및 통신 판매 관련 종사자,중년,6.1,109
여성,1960,결혼,있슴,530,180,부산/경남/울산,61,방문 노점 및 통신 판매 관련 종사자,노년,5.5,116
남성,1955,결혼,없슴,530,241.619016,부산/경남/울산,66,방문 노점 및 통신 판매 관련 종사자,노년,6.6,137
여성,1955,결혼,있슴,530,241.619016,부산/경남/울산,66,방문 노점 및 통신 판매 관련 종사자,노년,6.1,115
여성,1961,결혼,없슴,530,100,부산/경남/울산,60,방문 노점 및 통신 판매 관련 종사자,노년,6.3,121
여성,1964,결혼,없슴,530,241.619016,부산/경남/울산,57,방문 노점 및 통신 판매 관련 종사자,중년,7.2,129
남성,1947,결혼,있슴,530,241.619016,대구/경북,74,방문 노점 및 통신 판매 관련 종사자,노년,7.4,115
여성,1954,결혼,있슴,530,241.619016,대구/경북,67,방문 노점 및 통신 판매 관련 종사자,노년,7.3,128
여성,1972,이혼,없슴,530,120,대구/경북,49,방문 노점 및 통신 판매 관련 종사자,중년,6.1,115
여성,1981,결혼,없슴,530,241.619016,대구/경북,40,방문 노점 및 통신 판매 관련 종사자,중년,7.7,111
여성,1933,무응답,있슴,530,241.619016,대구/경북,88,방문 노점 및 통신 판매 관련 종사자,노년,6.1,124
여성,1968,결혼,있슴,530,206.7,대구/경북,53,방문 노점 및 통신 판매 관련 종사자,중년,8,125
남성,1955,결혼,있슴,530,241.619016,대구/경북,66,방문 노점 및 통신 판매 관련 종사자,노년,7.3,115
여성,1960,결혼,있슴,530,241.619016,대구/경북,61,방문 노점 및 통신 판매 관련 종사자,노년,7.9,114
여성,1973,결혼,있슴,530,183,수도권,48,방문 노점 및 통신 판매 관련 종사자,중년,5.5,101
여성,1970,결혼,없슴,530,100,수도권,51,방문 노점 및 통신 판매 관련 종사자,중년,5,109
여성,1938,무응답,있슴,530,241.619016,수도권,83,방문 노점 및 통신 판매 관련 종사자,노년,7.7,123
남성,1967,결혼,없슴,530,241.619016,수도권,54,방문 노점 및 통신 판매 관련 종사자,중년,6.6,135
여성,1973,결혼,있슴,530,160,수도권,48,방문 노점 및 통신 판매 관련 종사자,중년,5.7,102
남성,1979,결혼,없슴,530,241.619016,광주/전남/전북/제주도,42,방문 노점 및 통신 판매 관련 종사자,중년,5.8,133
여성,1967,이혼,없슴,530,208.3,광주/전남/전북/제주도,54,방문 노점 및 통신 판매 관련 종사자,중년,6,145
남성,1962,결혼,없슴,530,241.619016,광주/전남/전북/제주도,59,방문 노점 및 통신 판매 관련 종사자,중년,6.4,124
여성,1970,결혼,있슴,530,130,대전/충남,51,방문 노점 및 통신 판매 관련 종사자,중년,6.9,99
여성,1979,결혼,있슴,530,125,대전/충남,42,방문 노점 및 통신 판매 관련 종사자,중년,6.4,111
남성,1973,결혼,없슴,530,241.619016,대전/충남,48,방문 노점 및 통신 판매 관련 종사자,중년,7.4,107
여성,1962,결혼,있슴,530,241.619016,수도권,59,방문 노점 및 통신 판매 관련 종사자,중년,5.5,98
남성,1962,결혼,없슴,530,241.619016,수도권,59,방문 노점 및 통신 판매 관련 종사자,중년,5.9,116
여성,1966,결혼,없슴,530,200,수도권,55,방문 노점 및 통신 판매 관련 종사자,중년,6.8,144
여성,1966,결혼,있슴,530,30,수도권,55,방문 노점 및 통신 판매 관련 종사자,중년,7.5,110
남성,1940,결혼,있슴,530,241.619016,수도권,81,방문 노점 및 통신 판매 관련 종사자,노년,6.8,169
여성,1968,결혼,없슴,530,50,수도권,53,방문 노점 및 통신 판매 관련 종사자,중년,8.1,113
남성,1971,무응답,없슴,530,241.619016,수도권,50,방문 노점 및 통신 판매 관련 종사자,중년,6.5,135
남성,1982,결혼,없슴,530,241.619016,수도권,39,방문 노점 및 통신 판매 관련 종사자,중년,7.2,146
여성,1973,결혼,있슴,530,291.6,수도권,48,방문 노점 및 통신 판매 관련 종사자,중년,6.7,107
여성,1968,무응답,없슴,530,320,서울,53,방문 노점 및 통신 판매 관련 종사자,중년,8.1,106
여성,1962,무응답,있슴,530,120,수도권,59,방문 노점 및 통신 판매 관련 종사자,중년,7.6,106
남성,1966,결혼,있슴,530,833.3,강원/충북,55,방문 노점 및 통신 판매 관련 종사자,중년,7.4,119
여성,1966,결혼,있슴,530,416.7,강원/충북,55,방문 노점 및 통신 판매 관련 종사자,중년,7.6,131
여성,1980,결혼,없슴,530,241.619016,강원/충북,41,방문 노점 및 통신 판매 관련 종사자,중년,6.7,135
여성,1981,결혼,없슴,530,60,강원/충북,40,방문 노점 및 통신 판매 관련 종사자,중년,6.5,121
여성,1967,결혼,있슴,530,67.5,강원/충북,54,방문 노점 및 통신 판매 관련 종사자,중년,6.6,119
남성,1968,결혼,없슴,530,241.619016,강원/충북,53,방문 노점 및 통신 판매 관련 종사자,중년,6.7,115
여성,1977,결혼,있슴,530,121,강원/충북,44,방문 노점 및 통신 판매 관련 종사자,중년,6.4,126
여성,1972,결혼,있슴,530,283.3,강원/충북,49,방문 노점 및 통신 판매 관련 종사자,중년,5.8,106
남성,1935,결혼,없슴,530,241.619016,강원/충북,86,방문 노점 및 통신 판매 관련 종사자,노년,7.4,94
여성,1937,결혼,있슴,530,241.619016,강원/충북,84,방문 노점 및 통신 판매 관련 종사자,노년,7.8,122
여성,1952,결혼,있슴,530,241.619016,강원/충북,69,방문 노점 및 통신 판매 관련 종사자,노년,6.6,118
여성,1974,무응답,없슴,530,238.88,대전/충남,47,방문 노점 및 통신 판매 관련 종사자,중년,4.9,115
남성,1990,무응답,없슴,530,260,광주/전남/전북/제주도,31,방문 노점 및 통신 판매 관련 종사자,중년,6.5,119
여성,1965,결혼,있슴,530,300,대전/충남,56,방문 노점 및 통신 판매 관련 종사자,중년,7.5,90
여성,1937,무응답,있슴,530,241.619016,대전/충남,84,방문 노점 및 통신 판매 관련 종사자,노년,6.2,122
여성,1966,결혼,없슴,530,147.33,대전/충남,55,방문 노점 및 통신 판매 관련 종사자,중년,7.3,150
남성,1964,결혼,있슴,530,241.619016,대전/충남,57,방문 노점 및 통신 판매 관련 종사자,중년,7.5,123
여성,1939,무응답,없슴,530,241.619016,대전/충남,82,방문 노점 및 통신 판매 관련 종사자,노년,5.6,98
여성,1940,결혼,없슴,530,241.619016,대전/충남,81,방문 노점 및 통신 판매 관련 종사자,노년,8.1,131
여성,1965,결혼,있슴,530,241.619016,광주/전남/전북/제주도,56,방문 노점 및 통신 판매 관련 종사자,중년,6.4,102
여성,1929,결혼,있슴,530,20,광주/전남/전북/제주도,92,방문 노점 및 통신 판매 관련 종사자,노년,6.7,118
여성,1971,결혼,있슴,530,241.619016,부산/경남/울산,50,방문 노점 및 통신 판매 관련 종사자,중년,6.6,132
남성,1966,이혼,없슴,530,241.619016,부산/경남/울산,55,방문 노점 및 통신 판매 관련 종사자,중년,6.4,115
여성,1951,무응답,없슴,530,241.619016,부산/경남/울산,70,방문 노점 및 통신 판매 관련 종사자,노년,7.5,116
여성,1954,무응답,없슴,530,241.619016,부산/경남/울산,67,방문 노점 및 통신 판매 관련 종사자,노년,7.3,131
여성,1981,무응답,없슴,530,241.619016,부산/경남/울산,40,방문 노점 및 통신 판매 관련 종사자,중년,7.5,132
여성,1948,결혼,있슴,530,241.619016,부산/경남/울산,73,방문 노점 및 통신 판매 관련 종사자,노년,5.8,105
여성,1974,결혼,있슴,530,172.9,수도권,47,방문 노점 및 통신 판매 관련 종사자,중년,7.5,111
여성,1947,결혼,없슴,530,241.619016,부산/경남/울산,74,방문 노점 및 통신 판매 관련 종사자,노년,6.6,90
남성,1967,결혼,없슴,530,241.619016,대구/경북,54,방문 노점 및 통신 판매 관련 종사자,중년,6.7,129
여성,1976,결혼,없슴,530,241.619016,대구/경북,45,방문 노점 및 통신 판매 관련 종사자,중년,3.7,126
여성,1982,무응답,있슴,530,244,서울,39,방문 노점 및 통신 판매 관련 종사자,중년,6,120
여성,1963,이혼,있슴,530,50,광주/전남/전북/제주도,58,방문 노점 및 통신 판매 관련 종사자,중년,6.4,97
남성,1957,결혼,있슴,530,241.619016,수도권,64,방문 노점 및 통신 판매 관련 종사자,노년,6.1,117
여성,1942,무응답,있슴,530,241.619016,부산/경남/울산,79,방문 노점 및 통신 판매 관련 종사자,노년,6.4,110
여성,1965,결혼,있슴,530,1000,수도권,56,방문 노점 및 통신 판매 관련 종사자,중년,5.6,119
여성,1946,결혼,있슴,530,241.619016,수도권,75,방문 노점 및 통신 판매 관련 종사자,노년,8,118
남성,1982,결혼,있슴,530,258.2,수도권,39,방문 노점 및 통신 판매 관련 종사자,중년,5.2,133
여성,1963,결혼,없슴,530,91.7,대구/경북,58,방문 노점 및 통신 판매 관련 종사자,중년,7.1,122
여성,1941,무응답,없슴,530,241.619016,수도권,80,방문 노점 및 통신 판매 관련 종사자,노년,4.8,123
남성,1967,결혼,없슴,530,241.619016,강원/충북,54,방문 노점 및 통신 판매 관련 종사자,중년,7,125
여성,1975,이혼,없슴,530,300,수도권,46,방문 노점 및 통신 판매 관련 종사자,중년,5.4,143
여성,1980,결혼,없슴,530,69.1,대구/경북,41,방문 노점 및 통신 판매 관련 종사자,중년,6.6,103
남성,1957,결혼,없슴,530,241.619016,서울,64,방문 노점 및 통신 판매 관련 종사자,노년,6.7,111
여성,1968,결혼,있슴,530,146.7,대구/경북,53,방문 노점 및 통신 판매 관련 종사자,중년,6.2,128
여성,1966,이혼,있슴,530,137,부산/경남/울산,55,방문 노점 및 통신 판매 관련 종사자,중년,6.1,103
남성,1968,결혼,있슴,530,241.619016,대구/경북,53,방문 노점 및 통신 판매 관련 종사자,중년,5.3,121
여성,1992,무응답,있슴,530,150,대전/충남,29,방문 노점 및 통신 판매 관련 종사자,청년,6.3,113
남성,1962,무응답,없슴,999,40,서울,59,기타 서비스관련 단순 종사원,중년,7,92
여성,1957,무응답,없슴,999,291.1,대전/충남,64,기타 서비스관련 단순 종사원,노년,7.6,106
남성,1991,무응답,있슴,999,91.4,서울,30,기타 서비스관련 단순 종사원,중년,6.7,142
여성,1943,무응답,있슴,999,20,서울,78,기타 서비스관련 단순 종사원,노년,8.1,113
남성,1965,결혼,있슴,999,241.619016,서울,56,기타 서비스관련 단순 종사원,중년,6.7,161
여성,1967,결혼,있슴,999,241.619016,서울,54,기타 서비스관련 단순 종사원,중년,6.5,109
남성,1960,결혼,없슴,999,241.619016,서울,61,기타 서비스관련 단순 종사원,노년,7.3,111
여성,1960,결혼,없슴,999,241.619016,서울,61,기타 서비스관련 단순 종사원,노년,5.1,93
여성,1966,결혼,있슴,999,241.619016,서울,55,기타 서비스관련 단순 종사원,중년,6,151
여성,1958,결혼,있슴,999,139.58,서울,63,기타 서비스관련 단순 종사원,노년,6.1,139
여성,1951,결혼,있슴,999,241.619016,서울,70,기타 서비스관련 단순 종사원,노년,5.9,131
여성,1942,결혼,있슴,999,120,서울,79,기타 서비스관련 단순 종사원,노년,7.8,128
남성,1995,무응답,없슴,999,63.6,서울,26,기타 서비스관련 단순 종사원,청년,5.8,101
여성,1963,결혼,없슴,999,241.619016,서울,58,기타 서비스관련 단순 종사원,중년,6.3,93
남성,1950,결혼,없슴,999,110,서울,71,기타 서비스관련 단순 종사원,노년,4.3,102
남성,1938,무응답,없슴,999,20,서울,83,기타 서비스관련 단순 종사원,노년,6.4,135
남성,1994,무응답,없슴,999,241.619016,서울,27,기타 서비스관련 단순 종사원,청년,6.1,108
남성,1986,무응답,없슴,999,155.5,서울,35,기타 서비스관련 단순 종사원,중년,6.5,142
여성,1951,이혼,없슴,999,127,서울,70,기타 서비스관련 단순 종사원,노년,7.1,156
남성,1954,결혼,있슴,999,100,서울,67,기타 서비스관련 단순 종사원,노년,6.4,140
여성,1947,결혼,있슴,999,20,서울,74,기타 서비스관련 단순 종사원,노년,6.5,114
여성,1968,무응답,있슴,999,82.5,부산/경남/울산,53,기타 서비스관련 단순 종사원,중년,6.3,137
남성,1979,무응답,있슴,999,241.619016,부산/경남/울산,42,기타 서비스관련 단순 종사원,중년,7.5,103
남성,1990,무응답,없슴,999,123,부산/경남/울산,31,기타 서비스관련 단순 종사원,중년,4.9,111
여성,1944,결혼,있슴,999,241.619016,부산/경남/울산,77,기타 서비스관련 단순 종사원,노년,5.8,119
남성,1992,무응답,없슴,999,94,부산/경남/울산,29,기타 서비스관련 단순 종사원,청년,7.6,124
여성,1973,결혼,없슴,999,241.619016,부산/경남/울산,48,기타 서비스관련 단순 종사원,중년,6.2,119
여성,1943,무응답,있슴,999,20,부산/경남/울산,78,기타 서비스관련 단순 종사원,노년,5.5,126
여성,1982,결혼,없슴,999,77,대구/경북,39,기타 서비스관련 단순 종사원,중년,5.4,106
남성,1938,결혼,있슴,999,20,대구/경북,83,기타 서비스관련 단순 종사원,노년,5.8,180
여성,1969,결혼,없슴,999,241.619016,대구/경북,52,기타 서비스관련 단순 종사원,중년,7.1,118
남성,1968,결혼,없슴,999,241.619016,대구/경북,53,기타 서비스관련 단순 종사원,중년,5.4,90
남성,1967,무응답,없슴,999,60,수도권,54,기타 서비스관련 단순 종사원,중년,3.7,89
남성,1942,결혼,있슴,999,20,대구/경북,79,기타 서비스관련 단순 종사원,노년,6.7,137
남성,1984,무응답,없슴,999,99,대구/경북,37,기타 서비스관련 단순 종사원,중년,7.2,126
여성,1993,무응답,없슴,999,241.619016,대구/경북,28,기타 서비스관련 단순 종사원,청년,8.8,139
남성,1953,결혼,없슴,999,241.619016,대구/경북,68,기타 서비스관련 단순 종사원,노년,5.8,120
여성,1959,결혼,있슴,999,35.8,대구/경북,62,기타 서비스관련 단순 종사원,노년,6.8,139
남성,1976,결혼,없슴,999,267.2,대구/경북,45,기타 서비스관련 단순 종사원,중년,3.8,156
여성,1968,이혼,없슴,999,90,수도권,53,기타 서비스관련 단순 종사원,중년,7.1,116
여성,1968,결혼,없슴,999,100,수도권,53,기타 서비스관련 단순 종사원,중년,7.2,120
